detected_at,domain,loc,change_type,lastmod,lastmod_prev,first_seen_at,last_seen_at,section,subsection,path_depth,sitemap_source_url
2025-10-01T03:07:15.677801+00:00,bankrate.com,https://www.bankrate.com/authors/kacie-goff/,modified,2025-09-30T00:00:00-04:00,2025-09-29T00:00:00-04:00,,2025-10-01T03:07:15.677801+00:00,authors,kacie-goff,2,
2025-10-01T03:07:15.677801+00:00,bankrate.com,https://www.bankrate.com/mortgages/todays-rates/mortgage-rates-for-tuesday-september-30-2025/,discovered,2025-09-30T10:30:00+00:00,,2025-10-01T03:07:15.677801+00:00,2025-10-01T03:07:15.677801+00:00,mortgages,todays-rates,3,
2025-10-01T03:07:15.677801+00:00,bankrate.com,https://www.bankrate.com/authors/bankrate/,modified,2025-09-30T00:00:00-04:00,2025-09-29T00:00:00-04:00,,2025-10-01T03:07:15.677801+00:00,authors,bankrate,2,
2025-10-01T03:07:15.677801+00:00,bankrate.com,https://www.bankrate.com/authors/bankrate-staff/,modified,2025-09-30T00:00:00-04:00,2025-09-29T00:00:00-04:00,,2025-10-01T03:07:15.677801+00:00,authors,bankrate-staff,2,
2025-10-01T03:07:15.677801+00:00,bankrate.com,https://www.bankrate.com/authors/aylea-wilkins/,modified,2025-09-30T00:00:00-04:00,2025-09-29T00:00:00-04:00,,2025-10-01T03:07:15.677801+00:00,authors,aylea-wilkins,2,
2025-10-01T03:07:15.677801+00:00,bankrate.com,https://www.bankrate.com/authors/autumn-cafiero-giusti/,modified,2025-09-30T00:00:00-04:00,2025-09-29T00:00:00-04:00,,2025-10-01T03:07:15.677801+00:00,authors,autumn-cafiero-giusti,2,
2025-10-01T03:07:15.677801+00:00,bankrate.com,https://www.bankrate.com/authors/brady-porche/,modified,2025-09-30T00:00:00-04:00,2025-09-29T00:00:00-04:00,,2025-10-01T03:07:15.677801+00:00,authors,brady-porche,2,
2025-10-01T03:07:15.677801+00:00,bankrate.com,https://www.bankrate.com/authors/brandon-renfro/,modified,2025-09-30T00:00:00-04:00,2025-09-29T00:00:00-04:00,,2025-10-01T03:07:15.677801+00:00,authors,brandon-renfro,2,
2025-10-01T03:07:15.677801+00:00,bankrate.com,https://www.bankrate.com/authors/brendan-dyer/,modified,2025-09-30T00:00:00-04:00,2025-09-29T00:00:00-04:00,,2025-10-01T03:07:15.677801+00:00,authors,brendan-dyer,2,
2025-10-01T03:07:15.677801+00:00,bankrate.com,https://www.bankrate.com/authors/brett-holzhauer/,modified,2025-09-30T00:00:00-04:00,2025-09-29T00:00:00-04:00,,2025-10-01T03:07:15.677801+00:00,authors,brett-holzhauer,2,
2025-10-01T03:07:15.677801+00:00,bankrate.com,https://www.bankrate.com/authors/chris-jennings/,modified,2025-09-30T00:00:00-04:00,2025-09-29T00:00:00-04:00,,2025-10-01T03:07:15.677801+00:00,authors,chris-jennings,2,
2025-10-01T03:07:15.677801+00:00,bankrate.com,https://www.bankrate.com/authors/chris-birk/,modified,2025-09-30T00:00:00-04:00,2025-09-29T00:00:00-04:00,,2025-10-01T03:07:15.677801+00:00,authors,chris-birk,2,
2025-10-01T03:07:15.677801+00:00,bankrate.com,https://www.bankrate.com/authors/chloe-moore/,modified,2025-09-30T00:00:00-04:00,2025-09-29T00:00:00-04:00,,2025-10-01T03:07:15.677801+00:00,authors,chloe-moore,2,
2025-10-01T03:07:15.677801+00:00,bankrate.com,https://www.bankrate.com/authors/chelsea-wing/,modified,2025-09-30T00:00:00-04:00,2025-09-29T00:00:00-04:00,,2025-10-01T03:07:15.677801+00:00,authors,chelsea-wing,2,
2025-10-01T03:07:15.677801+00:00,bankrate.com,https://www.bankrate.com/authors/chantal-m-roberts-cpcu-aic-rpa-itp/,modified,2025-09-30T00:00:00-04:00,2025-09-29T00:00:00-04:00,,2025-10-01T03:07:15.677801+00:00,authors,chantal-m-roberts-cpcu-aic-rpa-itp,2,
2025-10-01T03:07:15.677801+00:00,bankrate.com,https://www.bankrate.com/authors/chanelle-gibson/,modified,2025-09-30T00:00:00-04:00,2025-09-29T00:00:00-04:00,,2025-10-01T03:07:15.677801+00:00,authors,chanelle-gibson,2,
2025-10-01T03:07:15.677801+00:00,bankrate.com,https://www.bankrate.com/authors/cfennoy-at-redventurescom/,modified,2025-09-30T00:00:00-04:00,2025-09-29T00:00:00-04:00,,2025-10-01T03:07:15.677801+00:00,authors,cfennoy-at-redventurescom,2,
2025-10-01T03:07:15.677801+00:00,bankrate.com,https://www.bankrate.com/authors/cathleen-mccarthy/,modified,2025-09-30T00:00:00-04:00,2025-09-29T00:00:00-04:00,,2025-10-01T03:07:15.677801+00:00,authors,cathleen-mccarthy,2,
2025-10-01T03:07:15.677801+00:00,bankrate.com,https://www.bankrate.com/authors/cate-deventer/,modified,2025-09-30T00:00:00-04:00,2025-09-29T00:00:00-04:00,,2025-10-01T03:07:15.677801+00:00,authors,cate-deventer,2,
2025-10-01T03:07:15.677801+00:00,bankrate.com,https://www.bankrate.com/authors/barbara-whelehan/,modified,2025-09-30T00:00:00-04:00,2025-09-29T00:00:00-04:00,,2025-10-01T03:07:15.677801+00:00,authors,barbara-whelehan,2,
