domain,url,change_type,fate,status_code,is_redirect,final_url,redirect_count,response_time_ms,section,checked_at,error,has_noindex,has_nofollow,h_etag,h_last_modified,h_content_length,h_content_type,h_cache_control,h_age,h_vary,h_x_robots_tag,h_link,h_x_cache,h_cf_cache_status
bankrate.com,https://www.bankrate.com/credit-cards/reviews/green-dot-prepaid-visa-card-review/,removed,live,200,True,https://www.bankrate.com/credit-cards/reviews/capital-one-secured-mastercard/,1,152.0,,2025-12-13T09:36:57.458443+00:00,,False,False,"W/""a086e10ba563fda40dab9058f8960d70""",,124962,text/html; charset=UTF-8,"max-age=3600, public",2079,Accept-Encoding,,,HIT,
bankrate.com,https://www.bankrate.com/credit-cards/reviews/amex-gold-vs-chase-sapphire-preferred/,removed,live,200,True,https://www.bankrate.com/credit-cards/reviews/chase-sapphire-preferred-card/,1,1911.0,,2025-12-13T09:37:02.606474+00:00,,False,False,"W/""5140b1e0bd6530f0b797a1b1b13644a4""",,140581,text/html; charset=UTF-8,"max-age=3600, public",0,Accept-Encoding,,,MISS,
bankrate.com,https://www.bankrate.com/credit-cards/reviews/citi-premier-vs-citi-prestige/,removed,live,200,True,https://www.bankrate.com/credit-cards/reviews/,1,45.0,,2025-12-13T09:37:07.054485+00:00,,False,False,"W/""89c0eecf7b42426e7632b786a72720f3""",,115673,text/html; charset=UTF-8,"max-age=300, public",260,Accept-Encoding,,,HIT,
bankrate.com,https://www.bankrate.com/credit-cards/reviews/discover-it-student-cash-back-vs-discover-it-student-chrome/,removed,live,200,True,https://www.bankrate.com/credit-cards/reviews/,1,39.0,,2025-12-13T09:37:08.436915+00:00,,False,False,"W/""89c0eecf7b42426e7632b786a72720f3""",,115673,text/html; charset=UTF-8,"max-age=300, public",262,Accept-Encoding,,,HIT,
bankrate.com,https://www.bankrate.com/credit-cards/reviews/citi-premier-annual-hotel-savings-benefit/,removed,live,200,True,https://www.bankrate.com/credit-cards/reviews/citi-strata-premier-card/,1,37.0,,2025-12-13T09:37:13.733671+00:00,,False,False,"W/""e4087c57e2605f549e0ce34e48f3a9b6""",,125646,text/html; charset=UTF-8,"max-age=3600, public",3467,Accept-Encoding,,,HIT,
bankrate.com,https://www.bankrate.com/credit-cards/reviews/amazon-prime-rewards-visa-signature-benefits-guide/,removed,live,200,True,https://www.bankrate.com/credit-cards/reviews/amazon-prime-rewards-visa-signature-card-review/,1,51.0,,2025-12-13T09:37:14.598485+00:00,,False,False,"W/""1bb5c42a4f1f5ad74c20bf18d6f60ab6""",,123216,text/html; charset=UTF-8,"max-age=3600, public",1766,Accept-Encoding,,,HIT,
bankrate.com,https://www.bankrate.com/credit-cards/reviews/citi-simplicity-vs-citi-diamond-preferred/,removed,live,200,True,https://www.bankrate.com/credit-cards/reviews/,1,48.0,,2025-12-13T09:37:16.824726+00:00,,False,False,"W/""89c0eecf7b42426e7632b786a72720f3""",,115673,text/html; charset=UTF-8,"max-age=300, public",270,Accept-Encoding,,,HIT,
bankrate.com,https://www.bankrate.com/credit-cards/reviews/citi-simplicity-benefits-guide/,removed,live,200,True,https://www.bankrate.com/credit-cards/reviews/citi-simplicity-card/,1,40.0,,2025-12-13T09:37:18.256418+00:00,,False,False,"W/""434222d219ac87e044ce24d468337f9f""",,124648,text/html; charset=UTF-8,"max-age=3600, public",1927,Accept-Encoding,,,HIT,
bankrate.com,https://www.bankrate.com/credit-cards/reviews/how-to-maximize-amex-airline-fee-credit/,removed,live,200,True,https://www.bankrate.com/credit-cards/rewards/american-express-membership-rewards-guide/,1,41.0,,2025-12-13T09:37:21.967975+00:00,,False,False,,,110829,text/html; charset=UTF-8,"public, max-age=28800",21497,Accept-Encoding,,,"MISS, MISS, HIT",
bankrate.com,https://www.bankrate.com/credit-cards/reviews/discover-it-cash-back-vs-discover-it-chrome/,removed,live,200,True,https://www.bankrate.com/credit-cards/reviews/,1,49.0,,2025-12-13T09:37:27.478511+00:00,,False,False,"W/""89c0eecf7b42426e7632b786a72720f3""",,115673,text/html; charset=UTF-8,"max-age=300, public",281,Accept-Encoding,,,HIT,
bankrate.com,https://www.bankrate.com/credit-cards/reviews/credit-one-bank-nascar-credit-card/,removed,live,200,True,https://www.bankrate.com/credit-cards/reviews/capital-one-secured-mastercard/,1,40.0,,2025-12-13T09:37:34.667633+00:00,,False,False,"W/""a086e10ba563fda40dab9058f8960d70""",,124962,text/html; charset=UTF-8,"max-age=3600, public",2116,Accept-Encoding,,,HIT,
bankrate.com,https://www.bankrate.com/credit-cards/reviews/go2bank-secured-visa-credit-card/,removed,live,200,True,https://www.bankrate.com/credit-cards/reviews/capital-one-secured-mastercard/,1,42.0,,2025-12-13T09:37:35.561820+00:00,,False,False,"W/""a086e10ba563fda40dab9058f8960d70""",,124962,text/html; charset=UTF-8,"max-age=3600, public",2117,Accept-Encoding,,,HIT,
bankrate.com,https://www.bankrate.com/credit-cards/reviews/citi-thankyou-preferred-card/,removed,live,200,True,https://www.bankrate.com/credit-cards/reviews/capital-one-secured-mastercard/,1,38.0,,2025-12-13T09:37:36.254843+00:00,,False,False,"W/""a086e10ba563fda40dab9058f8960d70""",,124962,text/html; charset=UTF-8,"max-age=3600, public",2118,Accept-Encoding,,,HIT,
bankrate.com,https://www.bankrate.com/credit-cards/reviews/how-to-use-bank-of-america-travel-rewards/,removed,live,200,True,https://www.bankrate.com/credit-cards/rewards/bank-of-america-travel-rewards-guide/,1,40.0,,2025-12-13T09:37:36.794431+00:00,,False,False,,,110862,text/html; charset=UTF-8,"public, max-age=28800",10277,Accept-Encoding,,,"MISS, MISS, HIT",
