domain,url,change_type,fate,status_code,is_redirect,final_url,redirect_count,response_time_ms,section,checked_at,error,has_noindex,has_nofollow,h_etag,h_last_modified,h_content_length,h_content_type,h_cache_control,h_age,h_vary,h_x_robots_tag,h_link,h_x_cache,h_cf_cache_status
nerdwallet.com,https://www.nerdwallet.com/article/finance/hate-to-buy-used-get-over-it,removed,live,200,True,https://www.nerdwallet.com/finance/learn/hate-to-buy-used-get-over-it,1,779,,2025-12-11T12:37:04.952026+00:00,,False,False,,,,text/html; charset=utf-8,public,6969,Accept-Encoding,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/medicare-changing-2025,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/news/medicare-changing-2025,1,632,,2025-12-11T12:37:06.145377+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/health/big-beautiful-bill-marketplace-insurance,removed,live,200,True,https://www.nerdwallet.com/insurance/health/learn/big-beautiful-bill-marketplace-insurance,1,755,,2025-12-11T12:37:10.670341+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/cost-plus-drugs-medicare,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/cost-plus-drugs-medicare,1,630,,2025-12-11T12:37:11.927238+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/finance/good-credit-adopt-child,removed,live,200,True,https://www.nerdwallet.com/finance/learn/good-credit-adopt-child,1,513,,2025-12-11T12:37:14.015650+00:00,,False,False,,,,text/html; charset=utf-8,public,92,Accept-Encoding,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/health/high-or-low-deductible-health-insurance-plan,removed,live,200,True,https://www.nerdwallet.com/insurance/health/learn/high-or-low-deductible-health-insurance-plan,1,599,,2025-12-11T12:37:15.030601+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/finance/dont-go-broke-attending-holiday-parties,removed,live,200,True,https://www.nerdwallet.com/finance/learn/dont-go-broke-attending-holiday-parties,1,461,,2025-12-11T12:37:17.445898+00:00,,False,False,,,,text/html; charset=utf-8,public,53,Accept-Encoding,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/health/cobra-health-insurance,removed,live,200,True,https://www.nerdwallet.com/insurance/health/learn/cobra-health-insurance,1,728,,2025-12-11T12:37:21.500767+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/high-deductible-medigap-plans,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/high-deductible-medigap-plans,1,600,,2025-12-11T12:37:24.458392+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/finance/crush-work-harness-power-big-ideas,removed,live,200,True,https://www.nerdwallet.com/finance/learn/crush-work-harness-power-big-ideas,1,429,,2025-12-11T12:37:25.612462+00:00,,False,False,,,,text/html; charset=utf-8,public,37,Accept-Encoding,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/medicare-special-enrollment-period,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/medicare-special-enrollment-period,1,725,,2025-12-11T12:37:29.812331+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
