domain,url,change_type,fate,status_code,is_redirect,final_url,redirect_count,response_time_ms,section,checked_at,error,has_noindex,has_nofollow,h_etag,h_last_modified,h_content_length,h_content_type,h_cache_control,h_age,h_vary,h_x_robots_tag,h_link,h_x_cache,h_cf_cache_status
nerdwallet.com,https://www.nerdwallet.com/article/finance/3-questions-couples-ask-getting-dog,removed,live,200,True,https://www.nerdwallet.com/finance/learn/3-questions-couples-ask-getting-dog,1,624,,2025-12-12T09:04:28.747372+00:00,,False,False,,,,text/html; charset=utf-8,public,64,Accept-Encoding,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/homeowners-insurance-veterans-military,removed,live,200,True,https://www.nerdwallet.com/insurance/homeowners/learn/homeowners-insurance-veterans-military,1,686,,2025-12-12T09:04:32.634434+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/are-medicare-advantage-plans-worth-the-risk,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/are-medicare-advantage-plans-worth-the-risk,1,954,,2025-12-12T09:04:34.671427+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/health/coinsurance-vs-copay,removed,live,200,True,https://www.nerdwallet.com/insurance/health/learn/coinsurance-vs-copay,1,1215,,2025-12-12T09:04:46.224829+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/afford-long-term-care,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/afford-long-term-care,1,909,,2025-12-12T09:04:47.941533+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/hsa-and-medicare,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/hsa-and-medicare,1,718,,2025-12-12T09:04:49.672692+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/medicare-flex-card,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/medicare-flex-card,1,903,,2025-12-12T09:04:50.891648+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/2024-medicare-and-retirement-report,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/studies/2024-medicare-and-retirement-report,1,667,,2025-12-12T09:04:56.680852+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/medicare-advantage-hmo-plan,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/medicare-advantage-hmo-plan,1,778,,2025-12-12T09:05:00.846907+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/cant-afford-medicare,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/cant-afford-medicare,1,771,,2025-12-12T09:05:02.126146+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/homeowners-insurance-deductible,removed,live,200,True,https://www.nerdwallet.com/insurance/homeowners/learn/homeowners-insurance-deductible,1,726,,2025-12-12T09:05:04.915770+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
