domain,url,change_type,fate,status_code,is_redirect,final_url,redirect_count,response_time_ms,section,checked_at,error,has_noindex,has_nofollow,h_etag,h_last_modified,h_content_length,h_content_type,h_cache_control,h_age,h_vary,h_x_robots_tag,h_link,h_x_cache,h_cf_cache_status
nerdwallet.com,https://www.nerdwallet.com/article/insurance/homeowners-insurance-declarations-page,removed,live,200,True,https://www.nerdwallet.com/insurance/homeowners/learn/homeowners-insurance-declarations-page,1,645,,2025-12-13T09:36:57.318666+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/cost-plus-drugs-medicare,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/cost-plus-drugs-medicare,1,539,,2025-12-13T09:37:01.789335+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/medicare-for-people-with-disabilities,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/medicare-for-people-with-disabilities,1,863,,2025-12-13T09:37:02.830448+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/does-medicare-cover-addiction-treatment,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/does-medicare-cover-addiction-treatment,1,894,,2025-12-13T09:37:05.448911+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/how-to-cancel-medicare-part-b,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/how-to-cancel-medicare-part-b,1,650,,2025-12-13T09:37:11.412984+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/medically-necessary-medicare,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/medically-necessary-medicare,1,1183,,2025-12-13T09:37:14.742485+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/medicare-cost-plan,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/medicare-cost-plan,1,642,,2025-12-13T09:37:17.558912+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/does-medicare-cover-inspire,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/does-medicare-cover-inspire,1,843,,2025-12-13T09:37:20.947683+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/medicare-advantage-plan-cost,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/medicare-advantage-plan-cost,1,622,,2025-12-13T09:37:24.490488+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/finance/becoming-an-entrepreneur-starts-with-changing-your-mindset,removed,live,200,True,https://www.nerdwallet.com/finance/learn/becoming-an-entrepreneur-starts-with-changing-your-mindset,1,346,,2025-12-13T09:37:26.643783+00:00,,False,False,,,,text/html; charset=utf-8,public,158,Accept-Encoding,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/health/coinsurance-vs-copay,removed,live,200,True,https://www.nerdwallet.com/insurance/health/learn/coinsurance-vs-copay,1,729,,2025-12-13T09:37:27.529226+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/health/choose-health-insurance,removed,live,200,True,https://www.nerdwallet.com/insurance/health/learn/choose-health-insurance,1,744,,2025-12-13T09:37:32.649425+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/health/cobra-health-insurance,removed,live,200,True,https://www.nerdwallet.com/insurance/health/learn/cobra-health-insurance,1,592,,2025-12-13T09:37:38.467485+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/can-i-deduct-medicare-costs-on-my-income-tax,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/can-i-deduct-medicare-costs-on-my-income-tax,1,633,,2025-12-13T09:37:43.065498+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/finance/buy-car-partner,removed,live,200,True,https://www.nerdwallet.com/finance/learn/buy-car-partner,1,317,,2025-12-13T09:37:46.176154+00:00,,False,False,,,,text/html; charset=utf-8,public,143,Accept-Encoding,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/medicare-benefits,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/medicare-benefits,1,663,,2025-12-13T09:37:50.270475+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/medicare-part-c-vs-d,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/medicare-part-c-vs-d,1,600,,2025-12-13T09:37:56.766302+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/high-deductible-medigap-plans,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/high-deductible-medigap-plans,1,719,,2025-12-13T09:38:00.529807+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/direct-primary-care-medicare,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/direct-primary-care-medicare,1,899,,2025-12-13T09:38:06.637812+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/medicare-changing-2025,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/news/medicare-changing-2025,1,627,,2025-12-13T09:38:09.743713+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/leave-medicare-advantage,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/leave-medicare-advantage,1,551,,2025-12-13T09:38:12.630388+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/finance/back-to-school-savings-survey,removed,live,200,True,https://www.nerdwallet.com/finance/studies/back-to-school-savings-survey,1,232,,2025-12-13T09:38:23.995249+00:00,,False,False,,,,text/html; charset=utf-8,public,167,Accept-Encoding,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/medicare-advantage-open-enrollment,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/medicare-advantage-open-enrollment,1,1018,,2025-12-13T09:38:25.087895+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/inflation-reduction-act-medicare,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/inflation-reduction-act-medicare,1,660,,2025-12-13T09:38:28.045027+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/medicare-denied-procedure,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/medicare-denied-procedure,1,527,,2025-12-13T09:38:31.267040+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/hospital-drops-medicare-advantage,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/hospital-drops-medicare-advantage,1,673,,2025-12-13T09:38:36.341722+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/health/how-to-get-health-insurance,removed,live,200,True,https://www.nerdwallet.com/insurance/health/learn/how-to-get-health-insurance,1,607,,2025-12-13T09:38:39.146505+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
nerdwallet.com,https://www.nerdwallet.com/article/insurance/medicare/free-medicare-advantage,removed,live,200,True,https://www.nerdwallet.com/insurance/medicare/learn/free-medicare-advantage,1,550,,2025-12-13T09:38:42.523406+00:00,,False,False,,,,text/html; charset=utf-8,,,Origin,,,,DYNAMIC
